WAREHOUSE_CODE,CENTRAL_PINCODE,HOUR,DELIVERY_TYPE,ETA_TO_MEAN,ETA_TO_P90,TAT_MEAN,TAT_P90
2.0,3.0,17,rapid,0.8923076923076924,0.0,2.2446153846153845,0.0
2.0,3.0,18,non_rapid,84.42307692307692,46.0,29.346153846153847,24.0
2.0,3.0,18,rapid,0.5834445927903872,0.0,2.30173564753004,0.0
2.0,3.0,19,non_rapid,63.83783783783784,44.0,28.2972972972973,23.0
2.0,3.0,19,rapid,1.506188118811881,0.0,2.5136138613861387,0.0
2.0,3.0,20,non_rapid,78.73214285714286,44.0,30.071428571428573,22.0
2.0,3.0,20,rapid,2.463556851311953,0.0,7.489795918367347,1.0
2.0,3.0,21,non_rapid,65.06382978723404,43.0,32.297872340425535,22.0
2.0,3.0,21,rapid,8.98360655737705,1.0,16.442622950819672,1.0
2.0,3.0,22,non_rapid,78.83783783783784,43.0,29.72972972972973,36.0
2.0,3.0,22,rapid,34.578947368421055,43.0,22.0,16.0
2.0,3.0,23,non_rapid,75.55555555555556,41.2,33.05555555555556,19.0
2.0,3.0,23,rapid,57.53846153846154,40.0,20.692307692307693,19.0
3.0,139.0,0,non_rapid,48.0,47.0,38.333333333333336,38.0
3.0,139.0,1,non_rapid,39.083333333333336,46.0,37.0,37.5
3.0,139.0,2,non_rapid,46.71428571428572,48.0,56.57142857142857,62.0
3.0,139.0,4,non_rapid,32.666666666666664,29.6,36.0,36.0
3.0,139.0,6,non_rapid,157.0,183.4,8.5,8.5
3.0,139.0,7,non_rapid,61.7,40.0,50.0,55.0
3.0,139.0,8,non_rapid,43.77272727272727,39.0,33.04545454545455,31.0
3.0,139.0,8,rapid,1.0,1.0,0.1111111111111111,0.0
3.0,139.0,9,non_rapid,72.9375,48.0,35.1875,31.5
3.0,139.0,9,rapid,1.0,1.0,0.25,0.0
3.0,139.0,10,non_rapid,47.86363636363637,37.0,24.818181818181817,29.0
3.0,139.0,10,rapid,1.0,1.0,0.5185185185185185,0.0
3.0,139.0,11,non_rapid,53.516129032258064,36.0,27.161290322580644,28.0
3.0,139.0,11,rapid,1.0,1.0,3.0526315789473686,0.0
3.0,139.0,12,non_rapid,73.375,50.0,28.125,26.5
3.0,139.0,12,rapid,1.027027027027027,1.0,7.135135135135135,0.0
3.0,139.0,13,non_rapid,39.3,34.0,39.73333333333333,49.0
3.0,139.0,13,rapid,1.0,1.0,0.7708333333333334,0.0
3.0,139.0,14,non_rapid,33.666666666666664,33.0,48.16666666666666,48.5
3.0,139.0,14,rapid,0.9433962264150944,1.0,2.4150943396226414,0.0
3.0,139.0,15,non_rapid,38.0,32.0,40.142857142857146,48.0
3.0,139.0,15,rapid,0.975,1.0,0.375,0.0
3.0,139.0,16,non_rapid,95.1818181818182,53.0,38.72727272727273,46.0
3.0,139.0,16,rapid,0.9,1.0,1.1,0.0
3.0,139.0,17,non_rapid,37.28,30.0,43.2,45.0
3.0,139.0,17,rapid,0.0,0.0,49.0,49.0
3.0,139.0,18,non_rapid,46.6,53.0,45.333333333333336,45.0
3.0,139.0,19,non_rapid,64.0625,52.0,45.9375,45.0
3.0,139.0,20,non_rapid,87.42307692307692,51.0,45.65384615384615,43.0
3.0,139.0,21,non_rapid,65.60714285714286,51.2,40.21428571428572,42.0
3.0,139.0,22,non_rapid,54.0,52.0,41.91666666666666,42.0
3.0,139.0,23,non_rapid,61.88235294117647,48.0,41.8235294117647,40.0
4.0,85.0,0,non_rapid,42.0,41.0,19.545454545454547,17.0
4.0,86.0,1,non_rapid,22.0,22.0,16.0,16.0
4.0,85.0,1,non_rapid,44.8,39.0,20.6,16.0
4.0,85.0,2,non_rapid,53.0,67.0,15.666666666666666,16.0
4.0,85.0,3,non_rapid,39.0,39.0,15.0,15.0
4.0,85.0,4,non_rapid,48.333333333333336,45.0,10.333333333333334,9.0
4.0,85.0,5,non_rapid,64.0,64.0,13.0,13.0
4.0,85.0,6,non_rapid,44.0,43.0,11.25,12.0
4.0,86.0,7,non_rapid,48.0,48.0,10.0,10.0
